listingId,tokenId,name,rarityTier,price
9285,0,Satoshe Slugger #1,Ground Ball,0.00333
1,1,Satoshe Slugger #2,Home Run,0.333
9286,2,Satoshe Slugger #3,Double,0.00333
3,3,Satoshe Slugger #4,Ground Ball,0.00333
9287,4,Satoshe Slugger #5,Ground Ball,0.00333
5,5,Satoshe Slugger #6,Over-the-Fence Shot,0.0777
6,6,Satoshe Slugger #7,Ground Ball,0.00333
9288,7,Satoshe Slugger #8,Ground Ball,0.00333
8,8,Satoshe Slugger #9,Ground Ball,0.00333
9289,9,Satoshe Slugger #10,Over-the-Fence Shot,0.00333
10,10,Satoshe Slugger #11,Ground Ball,0.00333
11,11,Satoshe Slugger #12,Ground Ball,0.00333
9290,12,Satoshe Slugger #13,Ground Ball,0.00333
13,13,Satoshe Slugger #14,Home Run,0.333
9291,14,Satoshe Slugger #15,Line Drive,0.00333
15,15,Satoshe Slugger #16,Ground Ball,0.00333
16,16,Satoshe Slugger #17,Home Run,0.333
9292,17,Satoshe Slugger #18,Line Drive,0.00333
18,18,Satoshe Slugger #19,Home Run,0.333
9293,19,Satoshe Slugger #20,Ground Ball,0.00333
20,20,Satoshe Slugger #21,Ground Ball,0.00333
21,21,Satoshe Slugger #22,Ground Ball,0.00333
9294,22,Satoshe Slugger #23,Ground Ball,0.00333
23,23,Satoshe Slugger #24,Ground Ball,0.00333
24,24,Satoshe Slugger #25,Line Drive,0.00777
9295,25,Satoshe Slugger #26,Ground Ball,0.00333
26,26,Satoshe Slugger #27,Ground Ball,0.00333
9296,27,Satoshe Slugger #28,Ground Ball,0.00333
28,28,Satoshe Slugger #29,Triple,0.0333
9297,29,Satoshe Slugger #30,Ground Ball,0.00333
30,30,Satoshe Slugger #31,Ground Ball,0.00333
31,31,Satoshe Slugger #32,Ground Ball,0.00333
9298,32,Satoshe Slugger #33,Ground Ball,0.00333
9299,33,Satoshe Slugger #34,Double,0.00333
33,34,Satoshe Slugger #35,Ground Ball,0.00333
34,35,Satoshe Slugger #36,Ground Ball,0.00333
9300,36,Satoshe Slugger #37,Ground Ball,0.00333
36,37,Satoshe Slugger #38,Ground Ball,0.00333
37,38,Satoshe Slugger #39,Stand-Up Double,0.00777
9301,39,Satoshe Slugger #40,Ground Ball,0.00333
39,40,Satoshe Slugger #41,Ground Ball,0.00333
9302,41,Satoshe Slugger #42,Line Drive,0.00333
41,42,Satoshe Slugger #43,Ground Ball,0.00333
42,43,Satoshe Slugger #44,Pinch Hit Home Run,0.0777
9303,44,Satoshe Slugger #45,Base Hit,0.00333
44,45,Satoshe Slugger #46,Grand Slam (Ultra-Legendary),1
9304,46,Satoshe Slugger #47,Ground Ball,0.00333
46,47,Satoshe Slugger #48,Ground Ball,0.00333
47,48,Satoshe Slugger #49,Ground Ball,0.00333
9305,49,Satoshe Slugger #50,Home Run,0.00333
9306,50,Satoshe Slugger #51,Ground Ball,0.00333
50,51,Satoshe Slugger #52,Home Run,0.333
51,52,Satoshe Slugger #53,Ground Ball,0.00333
9307,53,Satoshe Slugger #54,Ground Ball,0.00333
53,54,Satoshe Slugger #55,Ground Ball,0.00333
54,55,Satoshe Slugger #56,Ground Ball,0.00333
9308,56,Satoshe Slugger #57,Ground Ball,0.00333
56,57,Satoshe Slugger #58,Double,0.00777
9309,58,Satoshe Slugger #59,Ground Ball,0.00333
9276,59,Satoshe Slugger #60,Ground Ball,0.000001
9310,60,Satoshe Slugger #61,Ground Ball,0.00333
60,61,Satoshe Slugger #62,Ground Ball,0.00333
61,62,Satoshe Slugger #63,Ground Ball,0.00333
9311,63,Satoshe Slugger #64,Ground Ball,0.00333
63,64,Satoshe Slugger #65,Ground Ball,0.00333
